Doc Id	PMID		Sentence	Start Point	End Point	Length	Text	Notes	UMLS Code	UMLS Concept Name	Possible Alternative Codes		
1	10051005	9	We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943+3 A--T MSH2 mutation carriers (n=76) for all patients and for men and women separately.	41	84	44	colorectal, endometrial, and ovarian cancers	intuitive: list is present. search for "colorectal cancers" yields 2 out of 3 UMLS codes, does not yield C0346629.	T0000016 - C0346629,C0009402,C1527249	Malignant neoplasm of large intestine- Group name			
1	10051005	9	We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943+3 A--T MSH2 mutation carriers (n=76) for all patients and for men and women separately.	53	84	32	endometrial, and ovarian cancers	intuitive: list is present. search for "endometrial cancer" yields UMLS code for Endometrial Carcinoma, but not malignant endometrial neoplasm.	T0000012 -C0476089,C0007103	Endometrial Carcinoma - Malignant Endometrial Neoplasm			
1	10051005	9	We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943+3 A--T MSH2 mutation carriers (n=76) for all patients and for men and women separately.	70	84	15	ovarian cancers	textual - "ovarian cancer" yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
2	10051007	1	Age of onset (AO) of Huntington disease (HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene.	42	43	2	HD	textual - yields correct UMLS code, however, also yield 4 others	C0020179	Huntington Disease			
2	10051007	1	Age of onset (AO) of Huntington disease (HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene.	22	39	18	Huntington disease	textual - yields correct UMLS code, however, also yields code for "HD gene	C0020179	Huntington Disease			
3	100562	7	HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci.	105	117	13	C7 deficiency	Textual. No annotation provided. However, search for "C7 deficiency" yields UMLS code C1864694.		COMPLEMENT COMPONENT 7 DEFICIENCY	C1864694		
4	100562	8	This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections..	43	55	13	C7 deficiency	Textual. No annotation provided for given text. However, search for "C7 deficiency" yields UMLS code C1864694.		COMPLEMENT COMPONENT 7 DEFICIENCY	C1864694		
4	100562	8	This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections..	73	96	24	infectious complications	textual	C0940933	Complication, infection			
4	100562	8	This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections..	190	209	20	neisseria infections	textual	C0851883	Neisseria infection			
5	10064668	1	OBJECTIVE: Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia CHH.	118	120	3	CHH	textual. Search yields given annotated code, also provides 1 other UMLS code however.	C0220748	Metaphyseal chondrodysplasia			
5	10064668	1	OBJECTIVE: Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia CHH.	65	70	6	cancer	textual.  Search yields given annotated code, also yields 3 other UMLS codes however.	C0006826	Malignant Neoplasms			
5	10064668	1	OBJECTIVE: Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia CHH.	92	116	25	cartilage-hair hypoplasia	textual	C0220748	Metaphyseal chondrodysplasia			
6	10072428	2	Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non-Maori populations is due to germline CDH1 mutations.	1	23	23	Familial gastric cancer	intuitive: code can be found by searching "familial cancer".	C1333600	Hereditary Malignant Neoplasm			
6	10072428	2	Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non-Maori populations is due to germline CDH1 mutations.	10	23	14	gastric cancer	textual	T0000013 -C0024623,C0699791	Malignant neoplasm of stomach - Stomach Carcinoma			
7	10072428	3	Therefore, we screened eight familial gastric cancer kindreds of British and Irish origin for germline CDH1 mutations, by SSCP analysis of all 16 exons and flanking sequences.	30	52	23	familial gastric cancer	intuitive: code can be found by searching for "familial cancer	C1333600	Hereditary Malignant Neoplasm			
7	10072428	3	Therefore, we screened eight familial gastric cancer kindreds of British and Irish origin for germline CDH1 mutations, by SSCP analysis of all 16 exons and flanking sequences.	39	52	14	gastric cancer	textual	T0000013 -C0024623,C0699791	Malignant neoplasm of stomach - Stomach Carcinoma			
8	10072428	8	We have confirmed that germline mutations in the CDH1 gene cause familial gastric cancer in non-Maori populations.	66	88	23	familial gastric cancer	intuitive: code can be found by searching for "familial cancer	C1333600	Hereditary Malignant Neoplasm			
8	10072428	8	We have confirmed that germline mutations in the CDH1 gene cause familial gastric cancer in non-Maori populations.	75	88	14	gastric cancer	textual	T0000013 -C0024623,C0699791	Malignant neoplasm of stomach - Stomach Carcinoma			
9	10072428	9	However, only a minority of familial gastric cancers can be accounted for by CDH1 mutations.	29	52	24	familial gastric cancers	intuitive: code can be found by searching for "familial cancer	C0699791	Hereditary Malignant Neoplasm			
9	10072428	9	However, only a minority of familial gastric cancers can be accounted for by CDH1 mutations.	38	52	15	gastric cancers	textual	T0000013 -C0024623,C0699791	Malignant neoplasm of stomach - Stomach Carcinoma			
10	10077614	2	The analysis of diseases linked specifically with WT1 mutations, such as Denys-Drash syndrome (DDS), can provide valuable insight concerning the role of WT1 in development and disease.	96	98	3	DDS	textual, although DDS does not correspond to the correct UMLS code	C0950121	Denys-Drash Syndrome			
10	10077614	2	The analysis of diseases linked specifically with WT1 mutations, such as Denys-Drash syndrome (DDS), can provide valuable insight concerning the role of WT1 in development and disease.	74	93	20	Denys-Drash syndrome	textual	C0950121	Denys-Drash Syndrome			
11	10078749	3	These findings demonstrate that GCH1 mutations must be considered even in patients with dystonic symptoms not typical of dopa-responsive dystonia..	122	145	24	dopa-responsive dystonia	textual - more specific than what was annotated, yields UMLS code C1851920- DYSTONIA, DOPA-RESPONSIVE	C0393593	Dystonic Disorder	C1851920- DYSTONIA, DOPA-RESPONSIVE		
12	10083734	2	Genetic analyses of Japanese C9 deficiency have shown that a C-to-T transition leading to TGA stop codon for Arg95 in exon 4 of the C9 gene (Arg95Stop) is common in Japanese C9 deficiency.	30	42	13	C9 deficiency	Textual. No annotation provided for given text. However, search for "C9 deficiency" yields UMLS code C1852676 .		C9 DEFICIENCY	C1852676		
12	10083734	2	Genetic analyses of Japanese C9 deficiency have shown that a C-to-T transition leading to TGA stop codon for Arg95 in exon 4 of the C9 gene (Arg95Stop) is common in Japanese C9 deficiency.	175	187	13	C9 deficiency	Textual. No annotation provided for given text. However, search for "C9 deficiency" yields UMLS code C1852676 .		C9 DEFICIENCY	C1852676		
